Handle,Title,Description,Status,Thumbnail,Profile Name,Option 1 Name,Option 1 Value,Variant SKU,Variant Inventory Quantity,Variant Manage Inventory,Variant Allow Backorder,Variant Price [INR]
"mango-new-now-mock-1","Linen-blend Slim Fit Suit Jacket","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1594938291221-94f18cbb5660?q=80&w=600&auto=format&fit=crop","Default","Size","S","MANGO-MOCK-1-S",100,TRUE,FALSE,6990
"mango-new-now-mock-1","Linen-blend Slim Fit Suit Jacket","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1594938291221-94f18cbb5660?q=80&w=600&auto=format&fit=crop","Default","Size","M","MANGO-MOCK-1-M",100,TRUE,FALSE,6990
"mango-new-now-mock-1","Linen-blend Slim Fit Suit Jacket","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1594938291221-94f18cbb5660?q=80&w=600&auto=format&fit=crop","Default","Size","L","MANGO-MOCK-1-L",100,TRUE,FALSE,6990
"mango-new-now-mock-2","Textured Cotton Sweater","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=600&auto=format&fit=crop","Default","Size","S","MANGO-MOCK-2-S",100,TRUE,FALSE,2990
"mango-new-now-mock-2","Textured Cotton Sweater","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=600&auto=format&fit=crop","Default","Size","M","MANGO-MOCK-2-M",100,TRUE,FALSE,2990
"mango-new-now-mock-2","Textured Cotton Sweater","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?q=80&w=600&auto=format&fit=crop","Default","Size","L","MANGO-MOCK-2-L",100,TRUE,FALSE,2990
"mango-new-now-mock-3","Slim Fit Chino Trousers","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?q=80&w=600&auto=format&fit=crop","Default","Size","S","MANGO-MOCK-3-S",100,TRUE,FALSE,3490
"mango-new-now-mock-3","Slim Fit Chino Trousers","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?q=80&w=600&auto=format&fit=crop","Default","Size","M","MANGO-MOCK-3-M",100,TRUE,FALSE,3490
"mango-new-now-mock-3","Slim Fit Chino Trousers","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?q=80&w=600&auto=format&fit=crop","Default","Size","L","MANGO-MOCK-3-L",100,TRUE,FALSE,3490
"mango-new-now-mock-4","100% Linen Regular-Fit Shirt","Premium mock product for testing Medusa filters and frontend styling.","published","https://images.unsplash.com/photo-1598033129183-c4f50c736f10?q=80&w=600&auto=format&fit=crop","Default","Size","S","MANGO-MOCK-4-S",100,TRUE,FALSE,3590
